gene_symbol,uniprot_id,organism,pathway_tags,gravity_link,spine_curvature_link,priority_score,justification
ADAMTSL2,Q86TH1,Homo sapiens,"ECM,Signaling",Modulates TGF-beta bioavailability and microfibril assembly under load.,Aberrant interaction with LTBP4 associated with AIS; Geleophysic dysplasia.,88,Regulates microfibril tension and signaling in AIS.
LTBP4,Q8N2S1,Homo sapiens,"ECM,Signaling","Binds TGF-beta to ECM, releasing it upon mechanical strain.",Partner of ADAMTSL2 in AIS pathogenesis.,85,Mechanosensitive TGF-beta anchor linked to AIS.
PIK3CA,P42336,Homo sapiens,"Signaling,Mechanotransduction",Constitutive activation reduces nuclear elasticity and impairs mechanotransduction.,PROS/CLOVES syndromes feature scoliosis; vascular malformations.,85,Nuclear mechanics and mechanotransduction failure.
COL5A1,P20908,Homo sapiens,"ECM,Structure",Regulates collagen fibril diameter and tissue tensile strength.,Classical Ehlers-Danlos syndrome features scoliosis.,85,Structural determinant of tissue stiffness.
TNXB,P22105,Homo sapiens,"ECM,Structure",Tenascin-X determines tissue elasticity and stability against gravity.,Deficiency causes Ehlers-Danlos syndrome with spinal laxity.,85,Essential for ECM elastic properties.
CTSK,P43235,Homo sapiens,"ECM,Remodeling",Cathepsin K mediates IVD matrix remodeling under load.,Upregulated in degenerative disc disease; constitutive in IVD.,82,Key enzyme for load-driven disc remodeling.
TRPC1,P48995,Homo sapiens,"Mechanotransduction,Ion_Channel",Mechanosensitive ion channel contributing to light touch and sensory feedback.,Potential role in proprioceptive feedback loops.,78,Mechanosensory channel distinct from Piezo.
TP53,P04637,Homo sapiens,"Signaling,Senescence",Upregulated in degenerative IVD cells; response to stress.,Marks senescence and apoptosis in scoliotic discs.,75,Marker of mechanical stress-induced senescence.
CDKN2A,P42771,Homo sapiens,"Signaling,Senescence",Upregulated in degenerative discs; cell cycle arrest.,Linked to IVD degeneration and potential asymmetry.,75,Senescence marker in loaded tissues.
VCL,P18206,Homo sapiens,"Mechanotransduction,Adhesion,Cytoskeleton","Unfolds under cytoskeletal tension (molecular spring), recruiting actin regulators.",Polymorphisms in focal adhesion genes are linked to AIS susceptibility. (DOI: 10.1038/s41598-019-49200-y),88,Strong mechanotransduction link via focal adhesion tension.
TLN1,Q9Y490,Homo sapiens,"Mechanotransduction,Adhesion",Primary force transmission link between integrins and actin; rod domain unfolds under tension.,Conditional deletion in osteoblasts leads to osteopenia and spinal deformities. (DOI: 10.1371/journal.pgen.1006886),88,Fundamental force transmission molecule.
INTU,Q9NVR2,Homo sapiens,"PCP,Cilia,Cytoskeleton",Regulates ciliogenesis and actin assembly; essential for sensing fluid flow.,Mutations cause severe vertebral segmentation defects and rib fusions (CPLANE). (DOI: 10.1038/ng.3558),85,Strong PCP/Cilia link to segmentation.
FUZ,Q9BPX3,Homo sapiens,"PCP,Cilia,Cytoskeleton",Controls apical actin enrichment and cilia formation; required for directional fluid flow sensing.,Knockout mice display neural tube defects and disorganized vertebral bodies. (DOI: 10.1371/journal.pgen.1002931),85,Essential PCP effector for ciliogenesis.
TRPC6,Q9Y210,Homo sapiens,"Mechanotransduction,Ion_Channel",Mechanosensitive channel activated by membrane stretch and gravity-induced hydrostatic pressure.,Gain-of-function mutations alter cellular mechanosensing; expressed in bone/muscle.,80,Mechanosensitive ion channel.
MYBPC1,Q00872,Homo sapiens,"Muscle,Mechanotransduction",Regulates actomyosin crossbridges and muscle tone; essential for postural maintenance.,Mutations cause Distal Arthrogryposis Type 1 with scoliosis. (DOI: 10.1016/j.ajhg.2009.11.014),85,Direct regulator of muscle tone and posture.
PRRX1,P54821,Homo sapiens,"Development,Mechanotransduction,ECM",Regulates fibroblast response to mechanical stiffness; essential for limb/spine morphogenesis.,Mutations cause Agnathia-Otocephaly; AIS GWAS hits near PRRX1 locus. (DOI: 10.1038/s41467-018-06619-7),82,GWAS link and developmental regulator.
COL9A2,Q14055,Homo sapiens,"ECM,Cartilage,Growth_Plate",FACIT collagen bridging fibrils; provides shear resistance to cartilage under load.,Mutations cause Stickler Syndrome and Multiple Epiphyseal Dysplasia with spinal flattening. (DOI: 10.1002/humu.1380020110),85,Structural integrity of cartilage matrix.
LMX1B,O60663,Homo sapiens,"Development,Cytoskeleton,Dorsal_Ventral",Specifies dorsal identity and regulates collagen expression.,Nail-Patella Syndrome causes iliac horns and scoliosis. (DOI: 10.1038/ng0598-7),85,Dorso-ventral patterning and collagen regulation.
DST,Q03001,Homo sapiens,"Cytoskeleton,Mechanotransduction,Neuron",Crosslinks actin and microtubules (spectraplakin); essential for cytoskeletal tensegrity.,Mutations cause HSAN Type VI with severe kyphoscoliosis. (DOI: 10.1016/j.ajhg.2010.11.010),88,Strong neural/cytoskeletal tensegrity link.
MAGEL2,Q9UJ55,Homo sapiens,"Muscle,Metabolism,Circadian",Regulates muscle mass and bone density; loss mimics 'failure to thrive' (unloading).,Prader-Willi/Schaaf-Yang Syndrome features high prevalence of scoliosis (80%). (DOI: 10.1136/jmedgenet-2013-102023),85,Syndromic link to muscle hypotonia and spine.
PIK3R1,P27986,Homo sapiens,"Signaling,Growth,Mechanotransduction",PI3K pathway is activated by mechanical stress; regulates cell size and growth.,SHORT syndrome includes spinal anomalies. (DOI: 10.1016/j.ajhg.2013.06.011),82,Growth pathway linked to mechanotransduction.
SELENON,Q9NZV5,Homo sapiens,"ER,Redox,Muscle",Regulates ER calcium handling and redox state; essential for muscle excitation-contraction coupling under load.,Mutations cause Rigid Spine Muscular Dystrophy (RSMD1); defining feature is severe spinal rigidity and scoliosis. (DOI: 10.1016/S1474-4422(02)00005-1),92,Defining gene for 'Rigid Spine' phenotype; links ER stress to postural tone.
EMD,P50402,Homo sapiens,"Nucleus,Mechanotransduction,LINC",Inner nuclear membrane protein; essential for nuclear mechanotransduction via LINC complex.,Mutations cause Emery-Dreifuss Muscular Dystrophy (EDMD); hallmark is early contractures of the spine (rigid spine). (GeneReviews),90,Direct link between nuclear mechanics and spinal rigidity.
TTN,Q8WZ42,Homo sapiens,"Muscle,Cytoskeleton,Mechanotransduction",Giant molecular spring contributing to passive muscle stiffness and integrity against gravity.,Mutations linked to various myopathies with spinal involvement; essential for sarcomere length sensing. (DOI: 10.1038/s41576-019-0127-x),88,The primary molecular spring of the sarcomere.
MYH3,P11055,Homo sapiens,"Muscle,Motor_Protein",Embryonic myosin heavy chain; generates contractile force during development.,"Mutations cause Freeman-Sheldon syndrome (Whistling Face), featuring severe scoliosis/kyphosis. (DOI: 10.1038/ng1823)",88,Developmental myosin linked to congenital contracture syndromes.
TMEM67,Q5HYA8,Homo sapiens,"Cilia,PCP",Meckelin; required for ciliary transition zone and Wnt/PCP signaling (flow sensing).,Mutations cause Meckel-Gruber and Joubert syndromes; cerebellar vermis hypoplasia and scoliosis. (DOI: 10.1038/ng1874),85,Ciliopathy gene linking PCP defects to spinal alignment.
CREB3L1,Q96BA8,Homo sapiens,"Bone,ER,Signaling",OASIS; ER stress transducer upregulated during osteoblast differentiation and matrix secretion.,Mutations cause Osteogenesis Imperfecta Type VII; severe bone fragility and scoliosis. (DOI: 10.1038/s41467-017-00566-7),85,ER stress sensor critical for bone matrix quality.
ILK,Q13418,Homo sapiens,"Adhesion,Mechanotransduction,Kinase",Links integrins to actin cytoskeleton; central hub for force transduction.,Chondrocyte-specific deletion leads to dwarfism and skeletal deformities. (DOI: 10.1083/jcb.200105151),85,Central hub for integrin-mediated force transduction.
PXN,P49023,Homo sapiens,"Adhesion,Mechanotransduction",Scaffold protein at focal adhesions; recruits signaling molecules in response to tension.,Regulates osteoclast activity and bone remodeling; potential link via focal adhesion dynamics.,82,Key focal adhesion scaffold for mechanosignaling.
CAPN3,P20807,Homo sapiens,"Muscle,Enzyme,Remodeling",Muscle-specific calpain; binds Titin and regulates sarcomere remodeling under stress.,Mutations cause Limb-Girdle Muscular Dystrophy 2A; scoliosis/lordosis is a common feature. (PMC3260027),85,Titin-associated protease linked to muscle maintenance.
TPM2,P07951,Homo sapiens,"Muscle,Cytoskeleton",Stabilizes actin filaments and regulates muscle contraction.,Mutations cause Arthrogryposis (congenital contractures) and Nemaline Myopathy with scoliosis. (DOI: 10.1038/ng2121),85,Regulatory contractile protein linked to congenital contractures.
ATP2A2,P16615,Homo sapiens,"Ion_Channel,Mechanotransduction,Skin",SERCA2; pumps calcium into ER; regulated by mechanical stress and Piezo1.,Mutations cause Darier disease; links to neuropsychiatric features and potentially skeletal homeostasis via Ca2+.,80,Calcium pump interacting with Piezo channels.
CDH1,P12830,Homo sapiens,"Adhesion,Mechanotransduction",E-Cadherin; transmits tension at adherens junctions; force-dependent conformation.,Loss of epithelial integrity affects tissue mechanics; essential for notochord boundaries.,80,Adherens junction force transmission.
STOML3,Q8TAV4,Homo sapiens,"Mechanotransduction,Membrane,Ion_Channel",Modulates sensitivity of Piezo channels; 'gain knob' for mechanosensation.,Essential for fine-tuning touch/proprioception; loss impairs gravity sensing (mouse). (DOI: 10.1038/nature13042),82,Modulator of Piezo sensitivity; relevant for proprioceptive tone.
AQP4,P55087,Homo sapiens,"Fluid_Flow,Glymphatic,Membrane",Drives glymphatic flow; essential for clearing waste from gravity-dependent stagnation.,Glymphatic stasis linked to inflammatory scoliosis; potential 'hydraulic mismatch'. (Theory),80,The 'Gatekeeper' of the Glymphatic-Spine link; fluid dynamics.
SSPOP,A2VEC9,Homo sapiens,"Cilia,Fluid_Flow,Structure",Secreted into central canal to form Reissner Fiber; senses CSF flow (gravity proxy).,Reissner Fiber is essential for spine straightening in zebrafish; loss causes scoliosis. (DOI: 10.1126/science.aaf9698),82,Component of the Reissner Fiber; pseudogene in humans but evolutionarily critical.
FAT4,Q6V0I7,Homo sapiens,"PCP,Cadherin,Growth",Atypical cadherin in Hippo pathway; regulates tissue polarity and growth under stress.,Mutations cause Hennekam Syndrome with scoliosis; essential for vertebral elongation. (DOI: 10.1016/j.ajhg.2014.08.014),85,Hippo pathway member linked to syndromic scoliosis.
ROCK1,Q13464,Homo sapiens,"Cytoskeleton,Signaling,Contraction",Effector of RhoA; generates actomyosin contractility resisting gravity.,Hyperactivity linked to curve progression; inhibition rescues scoliosis in models. (PMID: 30065020),80,Key regulator of cytoskeletal tension and contraction.
DZIP1,Q86YF9,Homo sapiens,"Cilia,PCP,Zinc_Finger",Essential for ciliary formation and trafficking; cilia sense fluid flow/gravity.,Mutations linked to AIS; gene knockdown causes scoliosis in zebrafish. (DOI: 10.1371/journal.pgen.1009587),88,Zinc finger protein linking ciliary function directly to spinal alignment.
MYLK,Q15746,Homo sapiens,"Muscle,Contraction,Signaling,Thermodynamic_Cost",Regulates smooth/non-muscle motility and contractility via myosin phosphorylation.,Genetic variants associated with AIS susceptibility. (DOI: 10.1007/s00586-011-2067-7),100,Regulator of myosin contractility.
PANX3,Q96QZ0,Homo sapiens,"Channel,Signaling,Bone",Mechanosensitive channel releasing ATP; regulates osteoblast/chondrocyte differentiation.,Promotes skeletal development; knockout mice show dwarfism and spinal deformities. (DOI: 10.1242/jcs.173005),82,Mechanosensitive ATP release channel in bone.
FBLN5,Q9UBX5,Homo sapiens,"ECM,Structure,Elasticity",Essential for elastic fiber assembly; provides tissue recoil against gravity.,Mutations cause Cutis Laxa with spinal diverticula and curvature. (DOI: 10.1086/339553),85,Essential for elastic recoil properties of ECM.
GDF5,P43026,Homo sapiens,"Signaling,Bone,Development",BMP family member regulating joint formation and cartilage maintenance under load.,Variants associated with disc degeneration and skeletal dysplasia (Brachydactyly Type C). (DOI: 10.1038/ng.205),82,BMP ligand critical for joint and cartilage health.
CNNM2,Q9H8M5,Homo sapiens,"Ion_Transport,Magnesium,Membrane",Magnesium transporter; Mg2+ is critical for bone/muscle mechanotransduction.,Mutations cause hypomagnesemia with skeletal anomalies. (DOI: 10.1016/j.ajhg.2013.12.012),78,Magnesium transporter linked to skeletal integrity.
BNC2,Q6ZN30,Homo sapiens,"Transcription_Factor,Development,ECM",Regulates expression of ECM components required for tissue stiffness.,Consistently identified as a top GWAS hit for Adolescent Idiopathic Scoliosis. (DOI: 10.1038/s41467-018-06619-7),88,Strongest GWAS evidence for AIS susceptibility; regulates matrix genes.
RUNX3,Q13761,Homo sapiens,"Proprioception,Signaling",Essential for development of proprioceptive neurons (gravity sensing).,"Null mutants develop scoliosis due to loss of proprioceptive input. (Blecher et al., 2017)",95,Primary driver of proprioceptive-dependent spinal alignment.
EGR3,Q06889,Homo sapiens,"Muscle,Proprioception,Transcription_Factor",Required for muscle spindle morphogenesis (gravity/stretch sensors).,"Knockout mice lack muscle spindles and develop scoliosis. (Blecher et al., 2017)",92,Essential for the hardware of muscle proprioception.
FBN2,P35556,Homo sapiens,"ECM,Development",Regulates elastic fiber assembly in early development.,Mutations cause Beals Syndrome (Congenital Contractural Arachnodactyly) with kyphoscoliosis. (DOI: 10.1038/ng0794-428),90,Early developmental paralog of FBN1 causing similar but distinct spinal defects.
SERPINH1,P50454,Homo sapiens,"ECM,Chaperone,ER",HSP47 is the specific chaperone for collagen folding; essential for gravity resistance.,Mutations cause severe Osteogenesis Imperfecta and scoliosis/platyspondyly. (DOI: 10.1016/j.ajhg.2009.01.026),90,Crucial for collagen structural integrity.
SYNE2,Q8WXH0,Homo sapiens,"Mechanotransduction,Nucleus,LINC",Connects nucleus to actin cytoskeleton (Nesprin-2).,Mutations cause EDMD5 with early spinal contractures. (UniProt),88,LINC complex component linking nucleus to cytoskeletal tension.
SUN1,O94901,Homo sapiens,"Mechanotransduction,Nucleus,LINC",Inner nuclear membrane protein anchoring the LINC complex.,Mutations linked to EDMD and nuclear positioning defects in muscle. (PMC4161305),88,Anchor of the LINC complex.
RPL38,P63173,Homo sapiens,"Ribosome,Development",Regulates translation of specific Hox mRNAs (segmentation/axial identity).,Mutations cause 'Tail-short' phenotype with homeotic vertebral transformations. (PMC4445650),88,Ribosomal filter for Hox gene translation and vertebral patterning.
SUN2,Q9UH99,Homo sapiens,"Mechanotransduction,Nucleus,LINC",Redundant role with SUN1 in LINC complex; essential for nuclear mechanics.,Variants modify severity of EDMD and nuclear-cytoskeletal coupling. (PMC4161305),85,Partner of SUN1 in nuclear mechanotransduction.
CAV3,P56539,Homo sapiens,"Muscle,Mechanotransduction,Membrane",Muscle-specific caveolin; regulates T-tubule structure and mechanosignaling.,Mutations cause Rippling Muscle Disease and LGMD1C with spinal rigidity. (OMIM),85,Muscle-specific membrane mechanosensor.
ASIC3,Q9UHC3,Homo sapiens,"Ion_Channel,Mechanotransduction,Inflammation",Acid-sensing channel activated by metabolic waste/pH in loaded discs.,Promotes IVD degeneration and inflammation in the Nucleus Pulposus. (PMC6768050),82,Metabolic/Mechanosensor link in the IVD.
NTRK3,Q16288,Homo sapiens,"Proprioception,Signaling",Essential for development of proprioceptive neurons (gravity sensing).,"Loss of function mutations cause congenital scoliosis due to lack of proprioceptive input. (Blecher et al., 2017)",95,Primary driver of proprioceptive-dependent spinal alignment.
OTOP1,Q7RTM1,Homo sapiens,"Gravity_Sensing,Ion_Channel",Forms proton channels in otoconia; essential for otolith formation (gravity sensors).,Vestibular dysfunction is strongly linked to Idiopathic Scoliosis onset. (DOI: 10.1007/s40141-013-0026-6),92,Essential for the hardware of vestibular gravity sensing.
CDH23,Q9H251,Homo sapiens,"Gravity_Sensing,Mechanotransduction",Forms tip links in hair cells; primary mechanosensor for gravity in otoliths.,Mutations cause Usher Syndrome; vestibular defects often accompany spinal anomalies. (PubMed: 11138009),90,Primary mechanosensor of the vestibular gravity system.
MYO7A,Q13402,Homo sapiens,"Gravity_Sensing,Motor_Protein",Essential for tensioning tip links in hair cells (gravity sensors).,Usher syndrome 1B; linked to vestibular dysfunction and potential spinal alignment issues.,90,Motor protein tuning the sensitivity of gravity sensors.
ETV1,Q9Y6J9,Homo sapiens,"Proprioception,Transcription_Factor",Required for development of Ia afferent sensory neurons (muscle spindles).,"Essential for the stretch reflex arc maintaining postural tone against gravity. (Arber et al., 2000)",90,Transcription factor specifying the gravity-sensing reflex arc.
CCDC57,Q6NSZ9,Homo sapiens,"Cilia,PCP",Regulates ependymal polarity and cilia beating; essential for CSF flow.,Loss causes severe hydrocephalus and scoliosis in zebrafish. (PLOS Biology 2023),90,Ependymal polarity regulator linking CSF flow to spine.
GPX4,P36969,Homo sapiens,"Mechanotransduction,Ferroptosis",Prevents ferroptosis downstream of Piezo1-mediated mechanical overload.,PIEZO1-GPX4 axis drives vertebral growth plate dysplasia in scoliosis. (PMC12533149),88,Crucial metabolic guard against mechanically-induced cell death.
DNAH5,Q8TE73,Homo sapiens,"Cilia,Motor_Protein",Outer dynein arm heavy chain; essential for motile cilia (flow sensing).,Primary Ciliary Dyskinesia (PCD) patients have high prevalence of scoliosis. (DOI: 10.1183/09031936.00046808),88,Classic PCD gene with strong scoliosis comorbidity.
HYDIN,Q4G0P3,Homo sapiens,"Cilia,Structure",Central pair protein essential for ciliary motility and flow sensing.,Mutations cause hydrocephalus and scoliosis in mice and zebrafish. (UniProt),88,Central pair protein linking ciliary motility to spine stability.
ZMYND10,O75800,Homo sapiens,"Cilia,Assembly",Essential for assembly of dynein arms in motile cilia.,Mutations cause PCD; zmynd10 mutant zebrafish develop scoliosis. (UniProt),88,Dynein assembly factor linked to ciliary scoliosis.
FGFR3,P22607,Homo sapiens,"Growth_Plate,Mechanotransduction",Negative regulator of bone growth; signaling is mechanically modulated.,Achondroplasia features spinal stenosis and kyphosis; regulates growth plate mechanics. (PMC3087869),88,Major growth plate regulator responsive to load.
XYLT1,Q86Y38,Homo sapiens,"ECM,Enzyme",Initiates GAG synthesis on proteoglycans (shock absorbers).,Mutations cause Desbuquois dysplasia with severe scoliosis. (UniProt),85,Essential for proteoglycan synthesis and cartilage stiffness.
ROBO3,Q96MS0,Homo sapiens,"Axon_Guidance,Proprioception",Essential for hindbrain axon crossing in somatosensory/proprioceptive pathways.,Mutations cause Horizontal Gaze Palsy with Progressive Scoliosis (HGPPS). (DOI: 10.1038/ng1295),85,Direct link between neural circuit formation (proprioception) and spinal curvature.
CNTNAP2,Q9UHC6,Homo sapiens,"Adhesion,Axon_Guidance",Interacts with L1 and Robo; involved in neural circuit formation (proprioception).,GWAS association with Adolescent Idiopathic Scoliosis. (PubMed: 21216876),82,Genetic association linking neural adhesion to AIS.
TTLL11,Q8NHH1,Homo sapiens,"Cytoskeleton,Cilia",Polyglutamylase essential for ciliary microtubule stability (gravity sensor structure).,Variants associated with AIS; linked to ciliary defects. (PMC11470263),82,Cytoskeletal modifier linked to ciliary stability and scoliosis.
TOR1A,O14656,Homo sapiens,"Nucleus,ER,Mechanotransduction","Interacts with LINC complex (Sun1/2, Lamin); essential for nuclear-cytoskeletal coupling.","Mutations cause DYT1 Dystonia, frequently associated with scoliosis. (DOI: 10.1038/ng0997-101)",85,Nuclear envelope protein linking muscle tone (dystonia) to spinal curvature.
ARL13B,Q3SXY8,Homo sapiens,"Cilia,Signaling",Regulates ciliary signaling and structure; essential for sensing flow/gravity.,"Mutations cause Joubert Syndrome, characterized by cerebellar defects and scoliosis. (DOI: 10.1038/ng.180)",88,Key regulator of ciliary signaling with strong syndromic scoliosis link.
ADAMTS10,Q9H324,Homo sapiens,"ECM,Mechanotransduction",Interacts with Fibrillin-1 (FBN1); essential for microfibril assembly and tissue stiffness.,"Mutations cause Weill-Marchesani syndrome (short stature, stiff joints, scoliosis). (DOI: 10.1086/423900)",85,Fibrillin-interacting protease essential for ECM mechanics.
PTHLH,P12272,Homo sapiens,"Growth_Plate,Signaling",PTHrP regulates chondrocyte differentiation under mechanical load (IHH loop).,Essential for vertebral growth; disruption causes brachydactyly and spinal anomalies. (UniProt),82,Central regulator of growth plate pacing under mechanical constraints.
STAT3,P40763,Homo sapiens,"Signaling,Bone",Mechanosensitive signaling hub; regulates osteoblast differentiation.,"Dominant-negative mutations cause Hyper-IgE (Job's) syndrome, with high scoliosis prevalence. (DOI: 10.1056/NEJMoa073618)",82,Signaling pathway linking immune dysfunction to severe skeletal/spinal defects.
CCDC39,Q9UFE4,Homo sapiens,"Cilia,Motility",Essential for dynein arm assembly in motile cilia (flow sensors).,Mutations cause Primary Ciliary Dyskinesia (PCD) with situs inversus and scoliosis. (DOI: 10.1038/ng.718),88,Essential component of the ciliary motility machinery linked to curvature.
POC1B,Q8TC44,Homo sapiens,"Cilia,Structure",Essential for basal body and ciliary integrity.,Mutations cause PCD; linked to retinal degeneration and skeletal anomalies. (DOI: 10.1016/j.ajhg.2014.06.010),85,Structural component of cilia essential for function.
CCDC103,Q9Y2V0,Homo sapiens,"Cilia,Motility",Dynein attachment factor essential for ciliary motility.,Mutations cause PCD with situs inversus and scoliosis. (DOI: 10.1016/j.ajhg.2012.05.003),88,Key factor for dynein arm attachment in motile cilia.
LTBP3,Q9NS15,Homo sapiens,"ECM,Signaling",Regulates TGF-beta bioavailability in bone and ECM.,Loss causes dental and spinal defects (scoliosis/kyphosis) in mice and humans. (PubMed: 10655536),85,Regulator of TGF-beta signaling critical for spinal ossification.
SLC39A14,Q15043,Homo sapiens,"Ion_Transport,Bone,Mechanotransduction","Transports Manganese (Mn2+), required for integrin activation and mechanotransduction.",Mutations cause severe progressive scoliosis and hyperostosis. (PubMed: 27153396),85,Transporter providing co-factors for integrin-mediated gravity sensing.
KAT6B,Q8WYB5,Homo sapiens,"Chromatin,Development",Histone acetyltransferase regulating developmental gene expression.,"Mutations cause Genitopatellar and Ohdo syndromes, featuring severe scoliosis. (DOI: 10.1016/j.ajhg.2011.10.008)",82,Epigenetic regulator of vertebral development.
DYM,Q7RTS9,Homo sapiens,"Golgi,ECM,Transport",Regulates Golgi organization and ECM secretion.,Mutations cause Dyggve-Melchior-Clausen disease (spondyloepimetaphyseal dysplasia). (DOI: 10.1086/367920),82,Golgi protein affecting ECM quality and vertebral shape.
EVC,P57679,Homo sapiens,"Cilia,Hedgehog",Localizes to base of cilia; regulates Hedgehog signaling.,"Mutations cause Ellis-van Creveld syndrome (dwarfism, polydactyly, scoliosis). (DOI: 10.1038/73254)",85,Ciliary basal body protein regulating Hedgehog signaling.
EVC2,Q86UK5,Homo sapiens,"Cilia,Hedgehog",Forms complex with EVC at cilia base.,Mutations cause Ellis-van Creveld syndrome and Weyers acrofacial dysostosis. (DOI: 10.1086/373931),85,Partner of EVC in ciliary signaling.
IFT122,Q9HBG6,Homo sapiens,"Cilia,Transport",Component of IFT complex A; essential for retrograde ciliary transport.,Mutations cause Sensenbrenner syndrome (Cranioectodermal dysplasia) with skeletal defects. (DOI: 10.1016/j.ajhg.2010.04.017),85,IFT complex component essential for ciliary maintenance.
NEK1,Q96PY6,Homo sapiens,"Cilia,Signaling,Kinase",Kinase involved in ciliogenesis and DNA damage response.,Mutations cause Short-Rib Polydactyly Syndrome (fatal skeletal dysplasia). (DOI: 10.1016/j.ajhg.2010.12.003),82,Ciliary kinase regulating skeletal formation.
NEK8,Q86SG6,Homo sapiens,"Cilia,Signaling,Kinase",Localizes to cilia; regulates ciliary stability and signaling.,Mutations cause Nephronophthisis with skeletal and spinal anomalies. (DOI: 10.1038/ng.258),82,Ciliary kinase linked to fibrocystic/skeletal disease.
COL12A1,Q99715,Homo sapiens,"ECM,Muscle,Mechanotransduction",FACIT collagen associated with Type I fibrils; regulates fibril diameter and mechanical properties.,Ullrich Congenital Muscular Dystrophy and Bethlem Myopathy cause scoliosis/kyphosis. (DOI: 10.1002/humu.20697),88,Structural interface between muscle and ECM; critical for load transmission.
DYNC1H1,Q14204,Homo sapiens,"Cytoskeleton,Motor_Protein,Transport",Cytoplasmic dynein heavy chain; drives retrograde transport essential for cellular gravity/stress sensing.,Mutations cause SMA-LED; associated with severe scoliosis and foot deformities. (DOI: 10.1038/ng.2446),88,Motor protein essential for retrograde signaling and neuronal survival in the spine.
ROR2,Q01974,Homo sapiens,"PCP,Wnt_Signaling,Receptor",Wnt co-receptor driving PCP; aligns tissues against stress vectors.,Mutations cause Robinow Syndrome (recessive) with hemivertebrae and scoliosis. (DOI: 10.1038/ng0400-435),90,Key PCP receptor directly linked to vertebral segmentation defects.
LOXL3,P58215,Homo sapiens,"ECM,Enzyme,Crosslinking",Oxidizes lysines in collagen/elastin; essential for tissue tensile strength against gravity.,Mutations cause Stickler Syndrome (non-ocular) and early-onset scoliosis. (DOI: 10.1093/hmg/ddv438),85,Enzyme determining the stiffness of the spinal column.
FBLN4,O95925,Homo sapiens,"ECM,Elasticity",Essential for elastic fiber assembly; provides recoil against gravity loading.,Mutations cause Cutis Laxa with severe skeletal anomalies and tortuosity. (DOI: 10.1016/j.ajhg.2009.09.013),85,Critical for elastic fiber integrity in the spine.
PLOD1,Q02809,Homo sapiens,"ECM,Enzyme",Hydroxylates lysines for collagen crosslinking; determines mechanical stability.,Kyphoscoliosis type Ehlers-Danlos Syndrome (EDS VIA) is caused by PLOD1 deficiency. (DOI: 10.1056/NEJM197206222862503),92,Defining gene for Kyphoscoliotic EDS; major structural determinant.
FKBP10,Q96AY3,Homo sapiens,"ECM,Chaperone",Chaperone for collagen and elastin; ensures proper folding for load resistance.,Mutations cause Osteogenesis Imperfecta and Bruck Syndrome (contractures + scoliosis). (DOI: 10.1016/j.ajhg.2009.10.023),88,Collagen chaperone essential for bone and joint stiffness.
TGFBR1,P36897,Homo sapiens,"Signaling,Mechanotransduction",Receptor for TGF-beta; pathway is mechanically activated by ECM strain.,Loeys-Dietz Syndrome Type 1 causes rapidly progressive scoliosis/cervical instability. (DOI: 10.1038/ng1511),90,Primary transducer of the mechanically-regulated TGF-beta signal.
COL9A1,P20849,Homo sapiens,"ECM,Cartilage",FACIT collagen stabilizing cartilage fibrils against compressive load.,Mutations cause Stickler Syndrome and Multiple Epiphyseal Dysplasia with spinal defects. (DOI: 10.1086/302008),85,Structural component of the intervertebral disc and cartilage.
GPC3,P51654,Homo sapiens,"Signaling,Development,HSPG",Cell surface heparan sulfate proteoglycan; regulates Wnt/Hedgehog distribution (morphogen gradients).,Simpson-Golabi-Behmel syndrome causes overgrowth and skeletal segmentation defects/scoliosis. (DOI: 10.1038/ng0596-76),82,Regulator of morphogen gradients determining vertebral size.
TMEM63A,O94886,Homo sapiens,"Ion_Channel,Mechanotransduction",Mammalian homolog of OSCA (plant mechanosensor); activated by membrane stretch.,Mutations cause transient hypomyelination; potential link to neural control of posture. (DOI: 10.1038/s41588-019-0527-4),75,New class of mechanosensitive channel; relevance to spine emerging.
TRPM7,Q923J1,Homo sapiens,"Ion_Channel,Kinase,Mechanotransduction",Chanzyme (Channel+Kinase); sensing fluid flow and membrane tension.,Essential for skeletal development; zebrafish mutants show curvature. (DOI: 10.1016/j.devcel.2010.02.006),85,Dual-function chanzyme critical for skeletal mechanosensing.
PAPPA2,Q9BXP8,Homo sapiens,"Signaling,Growth,Enzyme","Cleaves IGFBP5, releasing IGF-1 locally; regulates bone geometry under load.",Mutations cause short stature and thin long bones; vertebral geometry affected. (DOI: 10.1056/NEJMoa1510985),80,Regulator of local IGF bioavailability and bone dimensions.
KCNK2,Q92806,Homo sapiens,"Ion_Channel,Mechanotransduction",Potassium channel activated by membrane stretch; sets resting potential based on load.,Modulates excitability of motoneurons and sensory neurons; potential role in postural tone. (DOI: 10.1038/nrn1917),78,Classic mechanosensitive K+ channel regulating neuronal excitability.
SPP1,P10451,Homo sapiens,"ECM,Mechanotransduction,Bone",Matricellular protein upregulated by mechanical stress; essential for osteoclast attachment.,Plasma levels correlate with AIS curve severity; regulates bone remodeling balance. (DOI: 10.1016/j.spinee.2016.01.002),82,Load-dependent regulator of bone remodeling and mineralization.
